Season,Club,players_used,avg_age,possession,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90
2010-2011,Chelsea,24,28.2,,418,,,68,39,62,6,8,59,1,1.79,1.03,2.82,1.63,2.66,,,,,,,,,
2010-2011,Everton,24,28.1,,418,,,50,33,47,3,4,56,5,1.32,0.87,2.18,1.24,2.11,,,,,,,,,
2010-2011,Fulham,29,29.8,,418,,,48,32,46,2,3,52,1,1.26,0.84,2.11,1.21,2.05,,,,,,,,,
2010-2011,Liverpool,30,26.9,,418,,,58,30,51,7,8,63,2,1.53,0.79,2.32,1.34,2.13,,,,,,,,,
2010-2011,Manchester City,27,25.4,,418,,,56,35,48,8,9,71,5,1.47,0.92,2.39,1.26,2.18,,,,,,,,,
2010-2011,Manchester Utd,29,28.3,,418,,,75,59,72,3,5,56,3,1.97,1.55,3.53,1.89,3.45,,,,,,,,,
2010-2011,Newcastle Utd,30,26.3,,418,,,55,35,50,5,5,78,2,1.45,0.92,2.37,1.32,2.24,,,,,,,,,
2010-2011,Stoke City,25,27.6,,418,,,44,28,41,3,3,69,2,1.16,0.74,1.89,1.08,1.82,,,,,,,,,
2010-2011,Sunderland,31,25.0,,418,,,41,23,37,4,5,56,5,1.08,0.61,1.68,0.97,1.58,,,,,,,,,
2010-2011,Tottenham,28,26.6,,418,,,54,34,49,5,5,50,2,1.42,0.89,2.32,1.29,2.18,,,,,,,,,
2010-2011,West Brom,28,26.7,,418,,,52,37,48,4,6,51,7,1.37,0.97,2.34,1.26,2.24,,,,,,,,,
2010-2011,West Ham,35,27.9,,418,,,41,21,36,5,6,58,1,1.08,0.55,1.63,0.95,1.50,,,,,,,,,
2010-2011,Wigan Athletic,25,25.8,,418,,,37,20,35,2,3,67,4,0.97,0.53,1.50,0.92,1.45,,,,,,,,,
2010-2011,Wolves,30,25.8,,418,,,45,29,42,3,3,62,2,1.18,0.76,1.95,1.11,1.87,,,,,,,,,
2011-2012,Arsenal,32,25.2,,418,,,73,57,71,2,3,64,4,1.92,1.50,3.42,1.87,3.37,,,,,,,,,
2011-2012,Aston Villa,27,27.3,,418,,,37,26,34,3,3,69,2,0.97,0.68,1.66,0.89,1.58,,,,,,,,,
2011-2012,Blackburn,31,25.5,,418,,,44,32,40,4,8,66,5,1.16,0.84,2.00,1.05,1.89,,,,,,,,,
2011-2012,Bolton,30,27.4,,418,,,43,29,38,5,6,50,5,1.13,0.76,1.89,1.00,1.76,,,,,,,,,
2011-2012,Chelsea,29,27.6,,418,,,63,45,59,4,5,74,4,1.66,1.18,2.84,1.55,2.74,,,,,,,,,
2011-2012,Everton,29,28.6,,407,,,47,32,42,5,5,61,2,1.24,0.84,2.08,1.11,1.95,,,,,,,,,
2011-2012,Fulham,28,29.6,,418,,,44,31,41,3,4,54,0,1.16,0.82,1.97,1.08,1.89,,,,,,,,,
2011-2012,Liverpool,26,26.3,,418,,,42,23,41,1,4,52,5,1.11,0.61,1.71,1.08,1.68,,,,,,,,,
2011-2012,Manchester City,24,25.8,,418,,,91,73,84,7,8,51,5,2.39,1.92,4.32,2.21,4.13,,,,,,,,,
2011-2012,Manchester Utd,31,26.3,,418,,,87,69,78,9,11,51,1,2.29,1.82,4.11,2.05,3.87,,,,,,,,,
2011-2012,Newcastle Utd,26,25.6,,418,,,51,36,49,2,3,65,2,1.34,0.95,2.29,1.29,2.24,,,,,,,,,
2011-2012,Norwich City,27,25.8,,418,,,52,33,50,2,2,58,3,1.37,0.87,2.24,1.32,2.18,,,,,,,,,
2011-2012,QPR,34,28.8,,418,,,41,25,39,2,2,53,9,1.08,0.66,1.74,1.03,1.68,,,,,,,,,
2011-2012,Stoke City,23,27.9,,418,,,35,28,31,4,6,60,2,0.92,0.74,1.66,0.82,1.55,,,,,,,,,
2011-2012,Sunderland,28,25.8,,418,,,43,25,42,1,2,58,4,1.13,0.66,1.79,1.11,1.76,,,,,,,,,
2011-2012,Swansea City,25,25.4,,418,,,43,24,38,5,6,40,2,1.13,0.63,1.76,1.00,1.63,,,,,,,,,
2011-2012,Tottenham,29,27.6,,418,,,66,48,62,4,5,43,3,1.74,1.26,3.00,1.63,2.89,,,,,,,,,
2011-2012,West Brom,25,27.8,,418,,,44,30,43,1,2,47,1,1.16,0.79,1.95,1.13,1.92,,,,,,,,,
2011-2012,Wigan Athletic,23,26.3,,418,,,41,22,36,5,7,67,3,1.08,0.58,1.66,0.95,1.53,,,,,,,,,
2011-2012,Wolves,32,26.0,,418,,,40,25,37,3,4,64,4,1.05,0.66,1.71,0.97,1.63,,,,,,,,,
2012-2013,Arsenal,26,25.6,,418,,,69,54,64,5,6,37,4,1.82,1.42,3.24,1.68,3.11,,,,,,,,,
2012-2013,Aston Villa,28,24.1,,418,,,47,34,44,3,3,72,3,1.24,0.89,2.13,1.16,2.05,,,,,,,,,
2012-2013,Chelsea,26,26.4,,418,,,71,50,62,9,11,51,3,1.87,1.32,3.18,1.63,2.95,,,,,,,,,
2012-2013,Everton,23,28.8,,418,,,53,42,51,2,2,59,3,1.39,1.11,2.50,1.34,2.45,,,,,,,,,
2012-2013,Fulham,29,30.4,,418,,,45,32,39,6,6,48,3,1.18,0.84,2.03,1.03,1.87,,,,,,,,,
2012-2013,Liverpool,28,26.2,,418,,,67,47,62,5,6,54,2,1.76,1.24,3.00,1.63,2.87,,,,,,,,,
2012-2013,Manchester City,25,26.7,,418,,,64,45,60,4,6,63,3,1.68,1.18,2.87,1.58,2.76,,,,,,,,,
2012-2013,Manchester Utd,25,27.3,,418,,,80,63,76,4,7,57,1,2.11,1.66,3.76,2.00,3.66,,,,,,,,,
2012-2013,Newcastle Utd,32,26.2,,418,,,43,22,39,4,5,71,4,1.13,0.58,1.71,1.03,1.61,,,,,,,,,
2012-2013,Norwich City,27,26.7,,418,,,40,27,39,1,2,60,1,1.05,0.71,1.76,1.03,1.74,,,,,,,,,
2012-2013,QPR,30,28.2,,418,,,29,22,28,1,4,59,3,0.76,0.58,1.34,0.74,1.32,,,,,,,,,
2012-2013,Reading,28,27.2,,418,,,41,28,37,4,4,45,1,1.08,0.74,1.82,0.97,1.71,,,,,,,,,
2012-2013,Southampton,25,25.3,,418,,,46,25,43,3,3,43,2,1.21,0.66,1.87,1.13,1.79,,,,,,,,,
2012-2013,Stoke City,24,27.1,,418,,,33,23,30,3,5,76,4,0.87,0.61,1.47,0.79,1.39,,,,,,,,,
2012-2013,Sunderland,29,26.2,,418,,,39,24,35,4,4,61,3,1.03,0.63,1.66,0.92,1.55,,,,,,,,,
2012-2013,Swansea City,25,26.6,,418,,,47,32,47,0,0,57,2,1.24,0.84,2.08,1.24,2.08,,,,,,,,,
2012-2013,Tottenham,28,26.3,,418,,,62,45,62,0,0,54,2,1.63,1.18,2.82,1.63,2.82,,,,,,,,,
2012-2013,West Brom,25,27.6,,418,,,50,38,45,5,7,62,4,1.32,1.00,2.32,1.18,2.18,,,,,,,,,
2012-2013,West Ham,26,28.0,,418,,,43,33,39,4,4,74,1,1.13,0.87,2.00,1.03,1.89,,,,,,,,,
2012-2013,Wigan Athletic,28,27.7,,418,,,45,35,44,1,1,66,2,1.18,0.92,2.11,1.16,2.08,,,,,,,,,
2013-2014,Arsenal,27,26.8,,418,,,68,48,65,3,3,0,0,1.79,1.26,3.05,1.71,2.97,,,,,,,,,
2013-2014,Aston Villa,26,24.6,,418,,,38,25,36,2,4,0,0,1.00,0.66,1.66,0.95,1.61,,,,,,,,,
2013-2014,Cardiff City,32,25.4,,418,,,31,24,30,1,1,0,0,0.82,0.63,1.45,0.79,1.42,,,,,,,,,
2013-2014,Chelsea,29,27.7,,418,,,69,39,64,5,7,0,0,1.82,1.03,2.84,1.68,2.71,,,,,,,,,
2013-2014,Crystal Palace,31,28.1,,418,,,32,21,27,5,6,0,0,0.84,0.55,1.39,0.71,1.26,,,,,,,,,
2013-2014,Everton,28,27.6,,418,,,58,42,55,3,3,0,0,1.53,1.11,2.63,1.45,2.55,,,,,,,,,
2013-2014,Fulham,39,29.0,,418,,,38,28,36,2,3,0,0,1.00,0.74,1.74,0.95,1.68,,,,,,,,,
2013-2014,Hull City,27,27.5,,418,,,35,21,33,2,3,0,0,0.92,0.55,1.47,0.87,1.42,,,,,,,,,
2013-2014,Liverpool,25,25.7,,418,,,97,61,87,10,12,0,0,2.55,1.61,4.16,2.29,3.89,,,,,,,,,
2013-2014,Manchester City,23,27.7,,418,,,97,63,91,6,7,0,0,2.55,1.66,4.21,2.39,4.05,,,,,,,,,
2013-2014,Manchester Utd,30,26.7,,418,,,63,37,58,5,5,0,0,1.66,0.97,2.63,1.53,2.50,,,,,,,,,
2013-2014,Newcastle Utd,26,26.4,,418,,,41,25,39,2,3,0,0,1.08,0.66,1.74,1.03,1.68,,,,,,,,,
2013-2014,Norwich City,25,26.3,,418,,,28,18,27,1,2,0,0,0.74,0.47,1.21,0.71,1.18,,,,,,,,,
2013-2014,Southampton,24,25.1,,418,,,52,37,49,3,3,0,0,1.37,0.97,2.34,1.29,2.26,,,,,,,,,
2013-2014,Stoke City,26,27.3,,418,,,44,26,40,4,5,0,0,1.16,0.68,1.84,1.05,1.74,,,,,,,,,
2013-2014,Sunderland,31,26.5,,418,,,41,24,35,6,6,0,0,1.08,0.63,1.71,0.92,1.55,,,,,,,,,
2013-2014,Swansea City,27,26.5,,418,,,47,37,43,4,4,0,0,1.24,0.97,2.21,1.13,2.11,,,,,,,,,
2013-2014,Tottenham,28,25.2,,418,,,50,33,45,5,6,0,0,1.32,0.87,2.18,1.18,2.05,,,,,,,,,
2013-2014,West Brom,28,28.4,,418,,,41,27,39,2,2,0,0,1.08,0.71,1.79,1.03,1.74,,,,,,,,,
2013-2014,West Ham,29,28.5,,418,,,36,22,34,2,2,0,0,0.95,0.58,1.53,0.89,1.47,,,,,,,,,
2014-2015,Arsenal,29,26.1,56.6,418,"3,420",38.0,69,47,63,6,7,0,0,1.82,1.24,3.05,1.66,2.89,,,,,,,,,
2014-2015,Aston Villa,27,26.3,49.0,418,"3,420",38.0,31,23,30,1,1,0,0,0.82,0.61,1.42,0.79,1.39,,,,,,,,,
2014-2015,Burnley,24,27.2,42.5,418,"3,420",38.0,27,22,26,1,2,0,0,0.71,0.58,1.29,0.68,1.26,,,,,,,,,
2014-2015,Chelsea,25,27.0,55.9,418,"3,420",38.0,72,59,68,4,5,0,0,1.89,1.55,3.45,1.79,3.34,,,,,,,,,
2014-2015,Crystal Palace,30,27.8,40.4,418,"3,420",38.0,46,27,41,5,7,0,0,1.21,0.71,1.92,1.08,1.79,,,,,,,,,
2014-2015,Everton,28,27.9,54.7,418,"3,420",38.0,47,31,43,4,7,0,0,1.24,0.82,2.05,1.13,1.95,,,,,,,,,
2014-2015,Hull City,29,27.4,44.2,418,"3,420",38.0,32,22,31,1,1,0,0,0.84,0.58,1.42,0.82,1.39,,,,,,,,,
2014-2015,Leicester City,28,27.9,43.5,418,"3,420",38.0,45,29,42,3,3,0,0,1.18,0.76,1.95,1.11,1.87,,,,,,,,,
2014-2015,Liverpool,25,25.2,55.8,418,"3,420",38.0,48,30,43,5,6,0,0,1.26,0.79,2.05,1.13,1.92,,,,,,,,,
2014-2015,Manchester City,24,28.6,59.8,418,"3,420",38.0,82,61,75,7,8,0,0,2.16,1.61,3.76,1.97,3.58,,,,,,,,,
2014-2015,Manchester Utd,33,26.0,61.2,418,"3,420",38.0,60,41,57,3,5,0,0,1.58,1.08,2.66,1.50,2.58,,,,,,,,,
2014-2015,Newcastle Utd,27,25.9,47.7,418,"3,420",38.0,40,30,39,1,1,0,0,1.05,0.79,1.84,1.03,1.82,,,,,,,,,
2014-2015,QPR,32,28.2,45.2,418,"3,420",38.0,39,29,36,3,5,0,0,1.03,0.76,1.79,0.95,1.71,,,,,,,,,
2014-2015,Southampton,29,26.0,53.1,418,"3,420",38.0,49,32,47,2,3,0,0,1.29,0.84,2.13,1.24,2.08,,,,,,,,,
2014-2015,Stoke City,25,27.4,50.4,418,"3,420",38.0,47,30,44,3,3,0,0,1.24,0.79,2.03,1.16,1.95,,,,,,,,,
2014-2015,Sunderland,25,27.8,45.2,417,"3,420",38.0,30,20,26,4,4,0,0,0.79,0.53,1.32,0.68,1.21,,,,,,,,,
2014-2015,Swansea City,27,26.6,50.1,418,"3,420",38.0,43,34,41,2,2,0,0,1.13,0.89,2.03,1.08,1.97,,,,,,,,,
2014-2015,Tottenham,27,24.4,57.0,418,"3,420",38.0,56,40,53,3,5,0,0,1.47,1.05,2.53,1.39,2.45,,,,,,,,,
2014-2015,West Brom,26,28.0,43.7,418,"3,420",38.0,37,29,33,4,5,0,0,0.97,0.76,1.74,0.87,1.63,,,,,,,,,
2014-2015,West Ham,28,26.8,45.6,418,"3,420",38.0,43,34,42,1,2,0,0,1.13,0.89,2.03,1.11,2.00,,,,,,,,,
2015-2016,Arsenal,25,27.0,58.3,418,"3,420",38.0,62,53,61,1,2,0,0,1.63,1.39,3.03,1.61,3.00,,,,,,,,,
2015-2016,Aston Villa,29,26.6,46.4,418,"3,420",38.0,24,19,22,2,2,0,0,0.63,0.50,1.13,0.58,1.08,,,,,,,,,
2015-2016,Bournemouth,28,27.7,51.2,418,"3,420",38.0,43,28,40,3,4,0,0,1.13,0.74,1.87,1.05,1.79,,,,,,,,,
2015-2016,Chelsea,28,26.8,56.2,418,"3,420",38.0,55,40,51,4,5,0,0,1.45,1.05,2.50,1.34,2.39,,,,,,,,,
2015-2016,Crystal Palace,30,27.7,45.8,418,"3,420",38.0,38,21,34,4,5,0,0,1.00,0.55,1.55,0.89,1.45,,,,,,,,,
2015-2016,Everton,31,26.5,51.9,418,"3,420",38.0,56,44,52,4,5,0,0,1.47,1.16,2.63,1.37,2.53,,,,,,,,,
2015-2016,Leicester City,23,27.7,42.6,418,"3,420",38.0,68,43,58,10,13,0,0,1.79,1.13,2.92,1.53,2.66,,,,,,,,,
2015-2016,Liverpool,34,25.2,57.2,418,"3,420",38.0,62,50,60,2,2,0,0,1.63,1.32,2.95,1.58,2.89,,,,,,,,,
2015-2016,Manchester City,25,28.3,56.9,418,"3,420",38.0,71,53,66,5,8,0,0,1.87,1.39,3.26,1.74,3.13,,,,,,,,,
2015-2016,Manchester Utd,33,25.6,58.5,418,"3,420",38.0,46,31,43,3,3,0,0,1.21,0.82,2.03,1.13,1.95,,,,,,,,,
2015-2016,Newcastle Utd,31,25.4,46.6,418,"3,420",38.0,43,34,40,3,3,0,0,1.13,0.89,2.03,1.05,1.95,,,,,,,,,
2015-2016,Norwich City,28,27.7,46.0,418,"3,420",38.0,38,27,37,1,1,0,0,1.00,0.71,1.71,0.97,1.68,,,,,,,,,
2015-2016,Southampton,26,26.4,49.2,418,"3,420",38.0,58,45,55,3,4,0,0,1.53,1.18,2.71,1.45,2.63,,,,,,,,,
2015-2016,Stoke City,27,27.4,49.7,418,"3,420",38.0,40,29,35,5,5,0,0,1.05,0.76,1.82,0.92,1.68,,,,,,,,,
2015-2016,Sunderland,31,27.3,41.0,418,"3,420",38.0,44,30,41,3,3,0,0,1.16,0.79,1.95,1.08,1.87,,,,,,,,,
2015-2016,Swansea City,27,27.6,52.5,418,"3,420",38.0,41,25,36,5,5,0,0,1.08,0.66,1.74,0.95,1.61,,,,,,,,,
2015-2016,Tottenham,24,24.5,57.4,418,"3,420",38.0,68,50,63,5,5,0,0,1.79,1.32,3.11,1.66,2.97,,,,,,,,,
2015-2016,Watford,25,28.2,45.1,418,"3,420",38.0,38,18,32,6,7,0,0,1.00,0.47,1.47,0.84,1.32,,,,,,,,,
2015-2016,West Brom,28,29.1,39.8,418,"3,420",38.0,32,25,31,1,5,0,0,0.84,0.66,1.50,0.82,1.47,,,,,,,,,
2015-2016,West Ham,28,26.6,48.4,418,"3,420",38.0,64,38,60,4,4,0,0,1.68,1.00,2.68,1.58,2.58,,,,,,,,,
2016-2017,Arsenal,29,26.9,58.9,418,"3,420",38.0,73,55,69,4,6,0,0,1.92,1.45,3.37,1.82,3.26,,,,,,,,,
2016-2017,Bournemouth,27,27.0,51.5,418,"3,420",38.0,53,33,46,7,10,0,2,1.39,0.87,2.26,1.21,2.08,,,,,,,,,
2016-2017,Burnley,27,27.7,40.3,418,"3,420",38.0,39,24,33,6,6,0,1,1.03,0.63,1.66,0.87,1.50,,,,,,,,,
2016-2017,Chelsea,24,27.2,55.1,418,"3,420",38.0,83,53,81,2,4,0,0,2.18,1.39,3.58,2.13,3.53,,,,,,,,,
2016-2017,Crystal Palace,31,27.7,45.4,418,"3,420",38.0,48,32,44,4,7,0,0,1.26,0.84,2.11,1.16,2.00,,,,,,,,,
2016-2017,Everton,27,27.5,52.1,418,"3,420",38.0,58,45,55,3,4,0,1,1.53,1.18,2.71,1.45,2.63,,,,,,,,,
2016-2017,Hull City,28,27.4,45.9,418,"3,420",38.0,36,24,33,3,3,0,0,0.95,0.63,1.58,0.87,1.50,,,,,,,,,
2016-2017,Leicester City,25,27.8,41.9,418,"3,420",38.0,46,32,42,4,6,0,0,1.21,0.84,2.05,1.11,1.95,,,,,,,,,
2016-2017,Liverpool,23,26.1,62.0,418,"3,420",38.0,77,52,70,7,8,0,0,2.03,1.37,3.39,1.84,3.21,,,,,,,,,
2016-2017,Manchester City,25,28.5,65.0,418,"3,420",38.0,75,54,68,7,9,0,0,1.97,1.42,3.39,1.79,3.21,,,,,,,,,
2016-2017,Manchester Utd,31,26.7,56.5,418,"3,420",38.0,54,37,51,3,4,0,1,1.42,0.97,2.39,1.34,2.32,,,,,,,,,
2016-2017,Middlesbrough,27,27.3,47.3,418,"3,420",38.0,26,22,24,2,2,0,1,0.68,0.58,1.26,0.63,1.21,,,,,,,,,
2016-2017,Southampton,26,26.0,54.4,418,"3,420",38.0,39,27,36,3,6,0,1,1.03,0.71,1.74,0.95,1.66,,,,,,,,,
2016-2017,Stoke City,26,28.7,46.3,418,"3,420",38.0,37,24,33,4,6,0,1,0.97,0.63,1.61,0.87,1.50,,,,,,,,,
2016-2017,Sunderland,31,26.8,39.7,418,"3,420",38.0,28,11,23,5,5,0,3,0.74,0.29,1.03,0.61,0.89,,,,,,,,,
2016-2017,Swansea City,27,27.4,47.9,418,"3,420",38.0,45,31,42,3,3,0,0,1.18,0.82,2.00,1.11,1.92,,,,,,,,,
2016-2017,Tottenham,24,25.3,60.5,418,"3,420",38.0,84,59,77,7,9,0,0,2.21,1.55,3.76,2.03,3.58,,,,,,,,,
2016-2017,Watford,33,29.0,46.1,418,"3,420",38.0,39,27,36,3,3,0,3,1.03,0.71,1.74,0.95,1.66,,,,,,,,,
2016-2017,West Brom,23,29.4,37.3,418,"3,420",38.0,43,33,42,1,1,0,0,1.13,0.87,2.00,1.11,1.97,,,,,,,,,
2016-2017,West Ham,29,27.1,47.1,418,"3,420",38.0,46,28,43,3,4,0,4,1.21,0.74,1.95,1.13,1.87,,,,,,,,,
2017-2018,Arsenal,30,26.8,61.5,418,"3,420",38.0,73,61,69,4,5,,,1.92,1.61,3.53,1.82,3.42,68.4,64.6,51.3,115.9,1.80,1.35,3.15,1.70,3.05
2017-2018,Bournemouth,22,26.9,47.8,418,"3,420",38.0,45,36,42,3,3,,,1.18,0.95,2.13,1.11,2.05,44.8,42.5,32.2,74.7,1.18,0.85,2.02,1.12,1.97
2017-2018,Brighton,24,27.5,43.7,418,"3,420",38.0,33,25,28,5,7,,,0.87,0.66,1.53,0.74,1.39,37.2,31.8,23.0,54.8,0.98,0.60,1.58,0.84,1.44
2017-2018,Burnley,24,27.5,43.9,418,"3,420",38.0,35,26,35,0,0,,,0.92,0.68,1.61,0.92,1.61,34.5,34.5,23.9,58.4,0.91,0.63,1.54,0.91,1.54
2017-2018,Chelsea,26,26.7,55.4,418,"3,420",38.0,60,42,57,3,3,,,1.58,1.11,2.68,1.50,2.61,57.9,55.7,42.2,97.9,1.52,1.11,2.64,1.46,2.58
2017-2018,Crystal Palace,28,27.1,45.3,418,"3,420",38.0,44,26,36,8,10,,,1.16,0.68,1.84,0.95,1.63,56.1,48.9,33.7,82.6,1.48,0.89,2.36,1.29,2.17
2017-2018,Everton,30,26.7,45.9,418,"3,420",38.0,42,26,37,5,8,,,1.11,0.68,1.79,0.97,1.66,41.5,35.2,24.3,59.6,1.09,0.64,1.73,0.93,1.57
2017-2018,Huddersfield,25,26.4,45.7,418,"3,420",38.0,25,19,23,2,2,,,0.66,0.50,1.16,0.61,1.11,31.7,30.2,21.9,52.1,0.83,0.58,1.41,0.79,1.37
2017-2018,Leicester City,27,27.2,47.9,418,"3,420",38.0,53,38,48,5,6,,,1.39,1.00,2.39,1.26,2.26,48.1,43.5,31.9,75.4,1.27,0.84,2.11,1.15,1.99
2017-2018,Liverpool,27,25.6,60.5,418,"3,420",38.0,82,58,80,2,3,,,2.16,1.53,3.68,2.11,3.63,72.8,70.5,50.1,120.6,1.92,1.32,3.23,1.86,3.17
2017-2018,Manchester City,25,26.4,71.1,418,"3,420",38.0,103,85,97,6,8,,,2.71,2.24,4.95,2.55,4.79,86.4,80.4,63.3,143.7,2.27,1.67,3.94,2.11,3.78
2017-2018,Manchester Utd,27,26.7,54.8,418,"3,420",38.0,67,53,66,1,3,,,1.76,1.39,3.16,1.74,3.13,60.7,58.2,43.8,102.1,1.60,1.15,2.75,1.53,2.69
2017-2018,Newcastle Utd,27,25.6,41.7,418,"3,420",38.0,38,29,38,0,1,,,1.00,0.76,1.76,1.00,1.76,45.3,44.5,30.6,75.1,1.19,0.80,2.00,1.17,1.98
2017-2018,Southampton,26,26.2,51.5,418,"3,420",38.0,36,23,33,3,3,,,0.95,0.61,1.55,0.87,1.47,42.1,39.9,31.7,71.6,1.11,0.83,1.94,1.05,1.88
2017-2018,Stoke City,30,27.5,41.3,418,"3,420",38.0,34,28,34,0,3,,,0.89,0.74,1.63,0.89,1.63,37.5,35.3,25.8,61.1,0.99,0.68,1.67,0.93,1.61
2017-2018,Swansea City,26,27.2,45.2,418,"3,420",38.0,27,20,26,1,1,,,0.71,0.53,1.24,0.68,1.21,30.5,29.8,18.4,48.2,0.80,0.48,1.29,0.78,1.27
2017-2018,Tottenham,25,25.8,61.9,418,"3,420",38.0,70,51,68,2,3,,,1.84,1.34,3.18,1.79,3.13,67.3,65.0,48.0,113.0,1.77,1.26,3.03,1.71,2.97
2017-2018,Watford,29,27.9,49.6,418,"3,420",38.0,42,27,39,3,6,,,1.11,0.71,1.82,1.03,1.74,47.4,42.6,29.8,72.4,1.25,0.78,2.03,1.12,1.90
2017-2018,West Brom,24,29.1,40.6,418,"3,420",38.0,31,24,30,1,1,,,0.82,0.63,1.45,0.79,1.42,34.4,33.7,23.3,56.9,0.91,0.61,1.52,0.89,1.50
2017-2018,West Ham,27,28.0,45.0,418,"3,420",38.0,48,29,46,2,4,,,1.26,0.76,2.03,1.21,1.97,39.8,36.8,25.3,62.1,1.05,0.67,1.71,0.97,1.63
2018-2019,Arsenal,28,26.7,58.0,418,"3,420",38.0,69,52,65,4,5,73,2,1.82,1.37,3.18,1.71,3.08,59.0,55.1,45.8,100.9,1.55,1.21,2.76,1.45,2.66
2018-2019,Bournemouth,28,26.6,46.8,418,"3,420",38.0,55,43,48,7,9,60,1,1.45,1.13,2.58,1.26,2.39,54.2,47.3,38.5,85.8,1.43,1.01,2.44,1.25,2.26
2018-2019,Brighton,21,27.4,42.6,418,"3,420",38.0,35,24,30,5,6,61,4,0.92,0.63,1.55,0.79,1.42,34.4,29.9,23.2,53.1,0.91,0.61,1.52,0.79,1.40
2018-2019,Burnley,23,28.0,41.2,418,"3,420",38.0,43,32,41,2,2,75,1,1.13,0.84,1.97,1.08,1.92,40.8,39.3,25.4,64.7,1.07,0.67,1.74,1.03,1.70
2018-2019,Cardiff City,25,27.7,35.6,418,"3,420",38.0,33,20,30,3,4,66,1,0.87,0.53,1.39,0.79,1.32,39.4,36.3,22.8,59.2,1.04,0.60,1.64,0.96,1.56
2018-2019,Chelsea,24,27.3,62.8,418,"3,420",38.0,61,52,56,5,5,49,0,1.61,1.37,2.97,1.47,2.84,58.9,55.1,44.8,99.9,1.55,1.18,2.73,1.45,2.63
2018-2019,Crystal Palace,26,27.4,45.0,418,"3,420",38.0,48,33,38,10,11,58,2,1.26,0.87,2.13,1.00,1.87,50.3,42.2,30.4,72.6,1.32,0.80,2.12,1.11,1.91
2018-2019,Everton,23,25.7,51.5,418,"3,420",38.0,53,34,51,2,5,56,4,1.39,0.89,2.29,1.34,2.24,48.3,44.3,31.5,75.8,1.27,0.83,2.10,1.17,1.99
2018-2019,Fulham,28,26.0,48.6,418,"3,420",38.0,33,24,31,2,3,70,2,0.87,0.63,1.50,0.82,1.45,38.8,36.5,28.3,64.8,1.02,0.74,1.76,0.96,1.70
2018-2019,Huddersfield,31,26.2,47.0,418,"3,420",38.0,20,13,19,1,1,56,4,0.53,0.34,0.87,0.50,0.84,29.5,28.7,20.1,48.8,0.78,0.53,1.30,0.76,1.28
2018-2019,Leicester City,25,25.9,51.1,418,"3,420",38.0,48,34,43,5,7,60,5,1.26,0.89,2.16,1.13,2.03,49.6,44.4,35.6,80.0,1.30,0.94,2.24,1.17,2.11
2018-2019,Liverpool,23,26.1,61.7,418,"3,420",38.0,86,55,79,7,7,39,2,2.26,1.45,3.71,2.08,3.53,75.5,70.2,49.8,120.0,1.99,1.31,3.30,1.85,3.16
2018-2019,Manchester City,21,26.7,67.8,418,"3,420",38.0,91,71,88,3,4,44,1,2.39,1.87,4.26,2.32,4.18,84.6,81.6,65.1,146.7,2.23,1.71,3.94,2.15,3.86
2018-2019,Manchester Utd,28,26.3,54.5,418,"3,420",38.0,65,40,56,9,12,75,4,1.71,1.05,2.76,1.47,2.53,58.8,49.6,38.0,87.6,1.55,1.00,2.55,1.30,2.30
2018-2019,Newcastle Utd,24,26.9,40.4,418,"3,420",38.0,41,33,40,1,3,57,2,1.08,0.87,1.95,1.05,1.92,38.8,36.5,26.4,63.0,1.02,0.70,1.72,0.96,1.66
2018-2019,Southampton,30,25.4,43.9,418,"3,420",38.0,44,27,40,4,5,73,3,1.16,0.71,1.87,1.05,1.76,47.5,43.9,28.1,72.1,1.25,0.74,1.99,1.16,1.90
2018-2019,Tottenham,28,26.8,58.9,418,"3,420",38.0,66,47,62,4,4,57,3,1.74,1.24,2.97,1.63,2.87,58.5,55.5,38.9,94.4,1.54,1.02,2.56,1.46,2.48
2018-2019,Watford,25,28.5,47.1,418,"3,420",38.0,51,39,50,1,1,79,4,1.34,1.03,2.37,1.32,2.34,47.5,46.8,33.8,80.6,1.25,0.89,2.14,1.23,2.12
2018-2019,West Ham,26,27.6,48.7,418,"3,420",38.0,51,33,46,5,5,59,1,1.34,0.87,2.21,1.21,2.08,47.7,44.0,31.5,75.4,1.25,0.83,2.08,1.16,1.99
2018-2019,Wolves,21,26.1,46.9,418,"3,420",38.0,46,35,42,4,4,73,1,1.21,0.92,2.13,1.11,2.03,48.2,45.2,33.9,79.1,1.27,0.89,2.16,1.19,2.08
2019-2020,Arsenal,29,25.8,54.0,418,"3,420",38.0,56,35,53,3,3,88,5,1.47,0.92,2.39,1.39,2.32,49.2,46.9,29.9,76.9,1.30,0.79,2.08,1.24,2.02
2019-2020,Aston Villa,28,25.7,43.9,418,"3,420",38.0,40,32,39,1,3,70,1,1.05,0.84,1.89,1.03,1.87,40.1,37.7,30.4,68.1,1.05,0.80,1.85,0.99,1.79
