Season,Club,o_players_used,o_avg_age,o_possession,o_games_starts,o_minutes,o_minutes_90s,o_goals,o_assists,o_goals_pens,o_pens_made,o_pens_att,o_cards_yellow,o_cards_red,o_goals_per90,o_assists_per90,o_goals_assists_per90,o_goals_pens_per90,o_goals_assists_pens_per90,o_xg,o_npxg,o_xa,o_npxg_xa,o_xg_per90,o_xa_per90,o_xg_xa_per90,o_npxg_per90,o_npxg_xa_per90
2014-2015,West Ham,28,26.9,54.4,418,"3,420",38.0,45,28,43,2,5,64,7,1.18,0.74,1.92,1.13,1.87,,,,,,,,,
2015-2016,Arsenal,25,26.7,41.7,418,"3,420",38.0,33,25,32,1,1,70,3,0.87,0.66,1.53,0.84,1.50,,,,,,,,,
2015-2016,Aston Villa,29,27.1,53.6,418,"3,420",38.0,73,53,70,3,5,52,0,1.92,1.39,3.32,1.84,3.24,,,,,,,,,
2015-2016,Bournemouth,28,26.7,48.8,418,"3,420",38.0,67,47,63,4,6,56,5,1.76,1.24,3.00,1.66,2.89,,,,,,,,,
2015-2016,Chelsea,28,27.1,43.8,418,"3,420",38.0,52,32,49,3,4,115,5,1.37,0.84,2.21,1.29,2.13,,,,,,,,,
2015-2016,Crystal Palace,30,26.8,54.2,418,"3,420",38.0,48,32,44,4,4,68,3,1.26,0.84,2.11,1.16,2.00,,,,,,,,,
2015-2016,Everton,31,27.0,48.1,418,"3,420",38.0,55,42,50,5,6,62,1,1.45,1.11,2.55,1.32,2.42,,,,,,,,,
2015-2016,Leicester City,23,26.9,57.4,418,"3,420",38.0,36,23,32,4,4,68,2,0.95,0.61,1.55,0.84,1.45,,,,,,,,,
2015-2016,Liverpool,34,27.1,42.8,418,"3,420",38.0,49,33,47,2,3,50,3,1.29,0.87,2.16,1.24,2.11,,,,,,,,,
2015-2016,Manchester City,25,27.0,43.1,418,"3,420",38.0,39,31,38,1,1,58,2,1.03,0.82,1.84,1.00,1.82,,,,,,,,,
2015-2016,Manchester Utd,33,27.2,41.5,418,"3,420",38.0,33,23,31,2,2,57,2,0.87,0.61,1.47,0.82,1.42,,,,,,,,,
2015-2016,Newcastle Utd,31,27.1,53.4,418,"3,420",38.0,63,45,59,4,5,55,0,1.66,1.18,2.84,1.55,2.74,,,,,,,,,
2015-2016,Norwich City,28,26.9,54.0,418,"3,420",38.0,66,47,57,9,10,45,1,1.74,1.24,2.97,1.50,2.74,,,,,,,,,
2015-2016,Southampton,26,27.0,50.8,418,"3,420",38.0,41,28,40,1,1,41,1,1.08,0.74,1.82,1.05,1.79,,,,,,,,,
2015-2016,Stoke City,27,27.0,50.3,418,"3,420",38.0,55,42,50,5,5,56,2,1.45,1.11,2.55,1.32,2.42,,,,,,,,,
2015-2016,Sunderland,31,26.9,59.0,418,"3,420",38.0,61,39,54,7,8,72,5,1.61,1.03,2.63,1.42,2.45,,,,,,,,,
2015-2016,Swansea City,27,27.0,47.5,418,"3,420",38.0,49,33,47,2,2,81,5,1.29,0.87,2.16,1.24,2.11,,,,,,,,,
2015-2016,Tottenham,24,27.3,42.6,418,"3,420",38.0,32,27,30,2,2,65,3,0.84,0.71,1.55,0.79,1.50,,,,,,,,,
2015-2016,Watford,25,26.7,54.9,418,"3,420",38.0,48,36,44,4,7,46,3,1.26,0.95,2.21,1.16,2.11,,,,,,,,,
2015-2016,West Brom,28,26.8,60.2,418,"3,420",38.0,46,32,41,5,6,44,5,1.21,0.84,2.05,1.08,1.92,,,,,,,,,
2015-2016,West Ham,28,27.0,51.6,418,"3,420",38.0,49,30,43,6,8,79,9,1.29,0.79,2.08,1.13,1.92,,,,,,,,,
2016-2017,Arsenal,29,27.4,41.1,418,"3,420",38.0,43,23,33,10,10,77,4,1.13,0.61,1.74,0.87,1.47,,,,,,,,,
2016-2017,Bournemouth,27,27.3,48.5,418,"3,420",38.0,63,47,61,2,5,87,3,1.66,1.24,2.89,1.61,2.84,,,,,,,,,
2016-2017,Burnley,27,27.5,59.7,418,"3,420",38.0,53,38,49,4,5,65,3,1.39,1.00,2.39,1.29,2.29,,,,,,,,,
2016-2017,Chelsea,24,27.4,44.9,418,"3,420",38.0,32,16,30,2,2,84,4,0.84,0.42,1.26,0.79,1.21,,,,,,,,,
2016-2017,Crystal Palace,31,27.3,54.6,418,"3,420",38.0,63,44,61,2,2,71,1,1.66,1.16,2.82,1.61,2.76,,,,,,,,,
2016-2017,Everton,27,27.4,47.9,418,"3,420",38.0,43,31,40,3,5,59,2,1.13,0.82,1.95,1.05,1.87,,,,,,,,,
2016-2017,Hull City,28,27.4,54.1,418,"3,420",38.0,75,53,64,11,13,56,2,1.97,1.39,3.37,1.68,3.08,,,,,,,,,
2016-2017,Leicester City,25,27.2,58.1,418,"3,420",38.0,61,42,58,3,3,56,0,1.61,1.11,2.71,1.53,2.63,,,,,,,,,
2016-2017,Liverpool,23,27.3,38.0,418,"3,420",38.0,42,28,39,3,5,73,1,1.11,0.74,1.84,1.03,1.76,,,,,,,,,
2016-2017,Manchester City,25,27.3,35.0,418,"3,420",38.0,38,29,36,2,5,92,1,1.00,0.76,1.76,0.95,1.71,,,,,,,,,
2016-2017,Manchester Utd,31,27.4,43.5,418,"3,420",38.0,28,18,24,4,5,71,4,0.74,0.47,1.21,0.63,1.11,,,,,,,,,
2016-2017,Middlesbrough,27,27.4,52.7,418,"3,420",38.0,53,37,49,4,5,63,0,1.39,0.97,2.37,1.29,2.26,,,,,,,,,
2016-2017,Southampton,26,27.4,45.6,418,"3,420",38.0,48,33,42,6,9,67,2,1.26,0.87,2.13,1.11,1.97,,,,,,,,,
2016-2017,Stoke City,26,27.4,53.7,418,"3,420",38.0,51,38,50,1,2,80,2,1.34,1.00,2.34,1.32,2.32,,,,,,,,,
2016-2017,Sunderland,31,27.5,60.3,418,"3,420",38.0,67,51,63,4,4,58,1,1.76,1.34,3.11,1.66,3.00,,,,,,,,,
2016-2017,Swansea City,27,27.6,52.1,418,"3,420",38.0,65,44,59,6,8,65,1,1.71,1.16,2.87,1.55,2.71,,,,,,,,,
2016-2017,Tottenham,24,27.4,39.5,418,"3,420",38.0,25,15,23,2,2,90,3,0.66,0.39,1.05,0.61,1.00,,,,,,,,,
2016-2017,Watford,33,27.2,53.9,418,"3,420",38.0,66,47,63,3,4,62,3,1.74,1.24,2.97,1.66,2.89,,,,,,,,,
2016-2017,West Brom,23,27.3,62.7,418,"3,420",38.0,50,39,47,3,3,55,3,1.32,1.03,2.34,1.24,2.26,,,,,,,,,
2016-2017,West Ham,29,27.3,52.9,418,"3,420",38.0,64,46,59,5,8,83,1,1.68,1.21,2.89,1.55,2.76,,,,,,,,,
2017-2018,Arsenal,30,27.0,38.5,418,"3,420",38.0,51,38,46,5,6,52,4,1.34,1.00,2.34,1.21,2.21,50.5,46.0,33.9,79.8,1.33,0.89,2.22,1.21,2.10
2017-2018,Bournemouth,22,26.9,52.2,418,"3,420",38.0,60,44,58,2,3,73,1,1.58,1.16,2.74,1.53,2.68,61.4,59.3,43.7,103.0,1.62,1.15,2.77,1.56,2.71
2017-2018,Brighton,24,27.0,56.3,418,"3,420",38.0,49,36,48,1,3,30,2,1.29,0.95,2.24,1.26,2.21,52.6,50.3,34.5,84.9,1.38,0.91,2.29,1.32,2.23
2017-2018,Burnley,24,27.0,56.1,418,"3,420",38.0,38,29,35,3,5,45,6,1.00,0.76,1.76,0.92,1.68,51.8,48.3,37.6,85.8,1.36,0.99,2.35,1.27,2.26
2017-2018,Chelsea,26,26.9,44.6,418,"3,420",38.0,36,26,34,2,2,75,1,0.95,0.68,1.63,0.89,1.58,35.3,33.8,25.4,59.1,0.93,0.67,1.60,0.89,1.56
2017-2018,Crystal Palace,28,27.0,54.7,418,"3,420",38.0,53,40,51,2,2,72,3,1.39,1.05,2.45,1.34,2.39,50.6,49.1,33.9,83.0,1.33,0.89,2.22,1.29,2.18
2017-2018,Everton,30,27.0,54.1,418,"3,420",38.0,58,51,55,3,5,49,5,1.53,1.34,2.87,1.45,2.79,52.3,48.8,35.7,84.4,1.38,0.94,2.32,1.28,2.22
2017-2018,Huddersfield,25,27.0,54.3,418,"3,420",38.0,57,41,53,4,6,56,4,1.50,1.08,2.58,1.39,2.47,55.2,50.5,34.0,84.5,1.45,0.90,2.35,1.33,2.22
2017-2018,Leicester City,27,26.8,52.1,418,"3,420",38.0,58,47,56,2,4,52,1,1.53,1.24,2.76,1.47,2.71,49.9,46.9,37.1,84.0,1.31,0.98,2.29,1.23,2.21
2017-2018,Liverpool,27,27.1,39.5,418,"3,420",38.0,38,23,34,4,6,50,0,1.00,0.61,1.61,0.89,1.50,34.0,29.5,19.6,49.0,0.90,0.51,1.41,0.78,1.29
2017-2018,Manchester City,25,26.9,28.9,418,"3,420",38.0,25,17,25,0,2,77,3,0.66,0.45,1.11,0.66,1.11,22.8,21.3,14.8,36.1,0.60,0.39,0.99,0.56,0.95
2017-2018,Manchester Utd,27,26.9,45.2,418,"3,420",38.0,26,18,25,1,1,69,1,0.68,0.47,1.16,0.66,1.13,41.7,41.0,29.9,70.8,1.10,0.79,1.88,1.08,1.86
2017-2018,Newcastle Utd,27,26.9,58.3,418,"3,420",38.0,44,32,40,4,6,62,0,1.16,0.84,2.00,1.05,1.89,53.4,48.7,37.9,86.6,1.41,1.00,2.40,1.28,2.28
2017-2018,Southampton,26,26.9,48.5,418,"3,420",38.0,56,43,55,1,2,51,2,1.47,1.13,2.61,1.45,2.58,48.8,47.3,33.7,81.0,1.29,0.89,2.17,1.25,2.13
2017-2018,Stoke City,30,26.9,58.7,418,"3,420",38.0,66,49,61,5,5,49,0,1.74,1.29,3.03,1.61,2.89,63.8,60.0,44.5,104.5,1.68,1.17,2.85,1.58,2.75
2017-2018,Swansea City,26,27.1,54.8,418,"3,420",38.0,54,37,51,3,6,68,0,1.42,0.97,2.39,1.34,2.32,59.5,54.8,42.1,96.9,1.57,1.11,2.67,1.44,2.55
2017-2018,Tottenham,25,26.9,38.1,418,"3,420",38.0,35,22,33,2,3,75,1,0.92,0.58,1.50,0.87,1.45,35.0,32.7,23.0,55.6,0.92,0.60,1.53,0.86,1.46
2017-2018,Watford,29,26.9,50.4,418,"3,420",38.0,63,43,57,6,6,65,3,1.66,1.13,2.79,1.50,2.63,57.9,53.4,35.7,89.1,1.52,0.94,2.46,1.41,2.34
2017-2018,West Brom,24,26.9,59.4,418,"3,420",38.0,54,44,53,1,1,56,1,1.42,1.16,2.58,1.39,2.55,48.5,47.7,36.4,84.1,1.28,0.96,2.23,1.26,2.21
2017-2018,West Ham,27,26.8,55.0,418,"3,420",38.0,67,48,62,5,6,55,1,1.76,1.26,3.03,1.63,2.89,59.3,54.6,41.1,95.7,1.56,1.08,2.64,1.44,2.52
2018-2019,Arsenal,28,26.8,42.0,418,"3,420",38.0,49,32,42,7,7,76,2,1.29,0.84,2.13,1.11,1.95,54.1,48.8,35.4,84.2,1.42,0.93,2.36,1.28,2.22
2018-2019,Bournemouth,28,26.8,53.2,418,"3,420",38.0,67,48,62,5,5,91,9,1.76,1.26,3.03,1.63,2.89,55.6,51.8,36.3,88.2,1.46,0.96,2.42,1.36,2.32
2018-2019,Brighton,21,26.8,57.4,418,"3,420",38.0,60,39,50,10,10,52,2,1.58,1.03,2.61,1.32,2.34,56.2,48.7,34.7,83.4,1.48,0.91,2.39,1.28,2.19
2018-2019,Burnley,23,26.7,58.8,418,"3,420",38.0,64,43,62,2,3,58,3,1.68,1.13,2.82,1.63,2.76,64.2,61.9,45.2,107.1,1.69,1.19,2.88,1.63,2.82
2018-2019,Cardiff City,25,26.7,64.4,418,"3,420",38.0,69,53,65,4,7,49,3,1.82,1.39,3.21,1.71,3.11,62.4,57.1,41.3,98.5,1.64,1.09,2.73,1.50,2.59
2018-2019,Chelsea,24,26.8,37.2,418,"3,420",38.0,39,30,38,1,2,63,0,1.03,0.79,1.82,1.00,1.79,35.7,34.0,27.4,61.4,0.94,0.72,1.66,0.89,1.62
2018-2019,Crystal Palace,26,26.7,55.0,418,"3,420",38.0,52,35,48,4,5,62,2,1.37,0.92,2.29,1.26,2.18,48.7,45.2,33.5,78.7,1.28,0.88,2.16,1.19,2.07
2018-2019,Everton,23,26.8,48.5,418,"3,420",38.0,44,24,42,2,5,77,2,1.16,0.63,1.79,1.11,1.74,47.5,43.5,31.6,75.2,1.25,0.83,2.08,1.15,1.98
2018-2019,Fulham,28,26.8,51.4,418,"3,420",38.0,79,59,74,5,7,43,0,2.08,1.55,3.63,1.95,3.50,66.5,61.2,45.2,106.4,1.75,1.19,2.94,1.61,2.80
2018-2019,Huddersfield,31,26.5,53.0,418,"3,420",38.0,75,56,68,7,8,66,2,1.97,1.47,3.45,1.79,3.26,62.9,56.9,46.2,103.2,1.66,1.22,2.87,1.50,2.72
2018-2019,Leicester City,25,26.8,48.9,418,"3,420",38.0,48,36,43,5,5,70,6,1.26,0.95,2.21,1.13,2.08,45.5,41.9,32.5,74.4,1.20,0.86,2.05,1.10,1.96
2018-2019,Liverpool,23,26.9,38.3,418,"3,420",38.0,22,16,22,0,1,48,1,0.58,0.42,1.00,0.58,1.00,31.0,30.2,21.1,51.4,0.82,0.56,1.37,0.80,1.35
2018-2019,Manchester City,21,26.6,32.2,418,"3,420",38.0,23,14,19,4,4,54,2,0.61,0.37,0.97,0.50,0.87,25.1,22.2,18.4,40.7,0.66,0.49,1.15,0.58,1.07
2018-2019,Manchester Utd,28,26.9,45.5,418,"3,420",38.0,51,37,45,6,6,67,1,1.34,0.97,2.32,1.18,2.16,46.2,41.6,33.2,74.8,1.21,0.87,2.09,1.09,1.97
2018-2019,Newcastle Utd,24,26.8,59.6,418,"3,420",38.0,47,32,41,6,6,58,1,1.24,0.84,2.08,1.08,1.92,52.8,48.3,35.6,83.9,1.39,0.94,2.33,1.27,2.21
2018-2019,Southampton,30,26.7,56.1,418,"3,420",38.0,62,49,60,2,3,62,1,1.63,1.29,2.92,1.58,2.87,55.7,53.4,38.2,91.6,1.47,1.00,2.47,1.41,2.41
2018-2019,Tottenham,28,26.7,41.1,418,"3,420",38.0,36,28,33,3,5,61,2,0.95,0.74,1.68,0.87,1.61,45.9,41.9,31.5,73.4,1.21,0.83,2.04,1.10,1.93
2018-2019,Watford,25,26.8,52.9,418,"3,420",38.0,56,38,52,4,5,50,3,1.47,1.00,2.47,1.37,2.37,54.6,50.8,36.6,87.5,1.44,0.96,2.40,1.34,2.30
2018-2019,West Ham,26,26.7,51.3,418,"3,420",38.0,54,40,50,4,5,57,1,1.42,1.05,2.47,1.32,2.37,60.9,57.1,44.2,101.3,1.60,1.16,2.77,1.50,2.67
2018-2019,Wolves,21,26.8,53.1,418,"3,420",38.0,42,32,39,3,4,76,4,1.11,0.84,1.95,1.03,1.87,38.7,35.7,23.6,59.2,1.02,0.62,1.64,0.94,1.56
2019-2020,Arsenal,29,26.6,46.0,418,"3,420",38.0,48,30,41,7,8,79,1,1.26,0.79,2.05,1.08,1.87,56.6,50.4,35.8,86.2,1.49,0.94,2.43,1.33,2.27
2019-2020,Aston Villa,28,26.6,56.1,418,"3,420",38.0,66,44,61,5,6,90,7,1.74,1.16,2.89,1.61,2.76,65.9,61.3,44.3,105.5,1.73,1.17,2.90,1.61,2.78
2019-2020,Bournemouth,27,26.8,56.2,418,"3,420",38.0,65,45,60,5,6,67,3,1.71,1.18,2.89,1.58,2.76,57.5,53.0,38.5,91.5,1.51,1.01,2.53,1.40,2.41
2019-2020,Brighton,25,26.5,47.8,418,"3,420",38.0,52,42,50,2,2,61,1,1.37,1.11,2.47,1.32,2.42,54.5,52.9,39.0,91.9,1.43,1.03,2.46,1.39,2.42
2019-2020,Burnley,22,26.5,58.6,418,"3,420",38.0,49,38,45,4,5,42,3,1.29,1.00,2.29,1.18,2.18,48.3,44.5,33.1,77.6,1.27,0.87,2.14,1.17,2.04
2019-2020,Chelsea,27,26.4,39.3,418,"3,420",38.0,51,36,49,2,2,76,3,1.34,0.95,2.29,1.29,2.24,37.8,36.3,26.0,62.3,1.00,0.68,1.68,0.96,1.64
2019-2020,Crystal Palace,25,26.5,55.5,418,"3,420",38.0,48,36,48,0,1,88,5,1.26,0.95,2.21,1.26,2.21,51.3,50.5,35.4,85.9,1.35,0.93,2.28,1.33,2.26
2019-2020,Everton,24,26.6,50.8,418,"3,420",38.0,53,39,50,3,4,61,2,1.39,1.03,2.42,1.32,2.34,48.4,45.4,32.0,77.4,1.27,0.84,2.11,1.19,2.04
2019-2020,Leicester City,24,26.6,42.4,418,"3,420",38.0,39,26,31,8,10,69,3,1.03,0.68,1.71,0.82,1.50,44.5,37.0,28.7,65.7,1.17,0.76,1.93,0.97,1.73
2019-2020,Liverpool,24,26.3,36.6,418,"3,420",38.0,32,23,31,1,1,47,0,0.84,0.61,1.45,0.82,1.42,40.0,39.3,29.1,68.3,1.05,0.76,1.82,1.03,1.80
2019-2020,Manchester City,24,26.5,33.1,418,"3,420",38.0,34,25,31,3,3,53,1,0.89,0.66,1.55,0.82,1.47,34.8,32.9,23.0,56.0,0.91,0.61,1.52,0.87,1.47
2019-2020,Manchester Utd,29,26.7,43.8,418,"3,420",38.0,35,24,32,3,3,79,2,0.92,0.63,1.55,0.84,1.47,37.4,35.2,24.7,59.9,0.98,0.65,1.64,0.93,1.58
2019-2020,Newcastle Utd,28,26.5,61.4,418,"3,420",38.0,56,38,54,2,2,57,2,1.47,1.00,2.47,1.42,2.42,58.3,56.8,39.8,96.7,1.53,1.05,2.58,1.49,2.54
2019-2020,Norwich City,30,26.5,50.7,418,"3,420",38.0,72,50,68,4,7,58,2,1.89,1.32,3.21,1.79,3.11,61.9,56.7,39.6,96.2,1.63,1.04,2.67,1.49,2.53
2019-2020,Sheffield Utd,26,26.7,56.9,418,"3,420",38.0,39,28,38,1,3,46,0,1.03,0.74,1.76,1.00,1.74,47.9,45.6,34.0,79.6,1.26,0.89,2.16,1.20,2.10
2019-2020,Southampton,25,26.5,50.7,418,"3,420",38.0,59,41,56,3,4,67,3,1.55,1.08,2.63,1.47,2.55,53.1,50.0,34.4,84.4,1.40,0.91,2.30,1.32,2.22
2019-2020,Tottenham,29,26.7,47.8,418,"3,420",38.0,45,27,40,5,7,83,1,1.18,0.71,1.89,1.05,1.76,52.0,46.9,33.8,80.8,1.37,0.89,2.26,1.24,2.13
2019-2020,Watford,26,26.5,57.5,418,"3,420",38.0,61,37,53,8,9,66,1,1.61,0.97,2.58,1.39,2.37,57.3,50.3,34.6,84.9,1.51,0.91,2.42,1.32,2.23
2019-2020,West Ham,29,26.6,56.0,418,"3,420",38.0,59,49,54,5,6,45,0,1.55,1.29,2.84,1.42,2.71,61.0,56.4,46.0,102.5,1.60,1.21,2.82,1.48,2.70
2019-2020,Wolves,21,26.5,51.7,418,"3,420",38.0,39,28,38,1,3,85,5,1.03,0.74,1.76,1.00,1.74,34.8,32.4,24.5,56.9,0.92,0.65,1.56,0.85,1.50
2020-2021,Arsenal,29,26.7,46.2,418,"3,420",38.0,35,25,33,2,3,74,2,0.92,0.66,1.58,0.87,1.53,44.3,42.1,29.9,71.9,1.17,0.79,1.95,1.11,1.89
2020-2021,Aston Villa,24,26.7,51.9,418,"3,420",38.0,45,30,40,5,6,73,7,1.18,0.79,1.97,1.05,1.84,52.9,48.4,32.7,81.1,1.39,0.86,2.25,1.27,2.13
2020-2021,Brighton,27,26.4,48.7,418,"3,420",38.0,44,30,38,6,7,51,2,1.16,0.79,1.95,1.00,1.79,37.7,32.4,23.9,56.3,0.99,0.63,1.62,0.85,1.48
2020-2021,Burnley,25,26.6,58.3,418,"3,420",38.0,54,47,51,3,3,32,2,1.42,1.24,2.66,1.34,2.58,57.6,55.4,43.6,99.0,1.52,1.15,2.66,1.46,2.60
2020-2021,Chelsea,27,26.3,38.6,418,"3,420",38.0,35,26,32,3,4,56,3,0.92,0.68,1.61,0.84,1.53,32.8,29.8,22.0,51.8,0.86,0.58,1.44,0.78,1.36
2020-2021,Crystal Palace,24,26.4,59.9,418,"3,420",38.0,66,47,63,3,4,44,4,1.74,1.24,2.97,1.66,2.89,57.5,54.4,39.8,94.2,1.51,1.05,2.56,1.43,2.48
2020-2021,Everton,29,26.4,53.5,418,"3,420",38.0,47,33,44,3,4,66,1,1.24,0.87,2.11,1.16,2.03,52.0,48.9,33.5,82.5,1.37,0.88,2.25,1.29,2.17
2020-2021,Fulham,28,26.6,50.1,418,"3,420",38.0,52,34,45,7,7,40,1,1.37,0.89,2.26,1.18,2.08,52.9,47.7,36.2,83.9,1.39,0.95,2.34,1.26,2.21
2020-2021,Leeds United,23,26.5,42.4,418,"3,420",38.0,52,36,44,8,9,49,2,1.37,0.95,2.32,1.16,2.11,62.9,56.0,41.6,97.6,1.66,1.10,2.75,1.47,2.57
2020-2021,Leicester City,27,26.5,45.4,418,"3,420",38.0,48,29,44,4,4,61,1,1.26,0.76,2.03,1.16,1.92,47.7,44.7,34.2,78.9,1.25,0.90,2.16,1.18,2.08
2020-2021,Liverpool,28,26.6,37.6,418,"3,420",38.0,42,29,38,4,8,56,2,1.11,0.76,1.87,1.00,1.76,45.3,39.3,29.7,69.1,1.19,0.78,1.97,1.04,1.82
2020-2021,Manchester City,24,26.4,36.1,418,"3,420",38.0,31,17,23,8,10,61,2,0.82,0.45,1.26,0.61,1.05,31.4,23.7,15.6,39.2,0.83,0.41,1.24,0.62,1.03
2020-2021,Manchester Utd,29,26.6,44.2,418,"3,420",38.0,42,28,38,4,4,64,3,1.11,0.74,1.84,1.00,1.74,42.2,39.3,28.2,67.5,1.11,0.74,1.85,1.03,1.78
2020-2021,Newcastle Utd,27,26.6,61.8,418,"3,420",38.0,59,41,55,4,5,60,3,1.55,1.08,2.63,1.45,2.53,54.0,50.2,37.9,88.1,1.42,1.00,2.42,1.32,2.32
2020-2021,Sheffield Utd,27,26.7,58.5,418,"3,420",38.0,60,45,57,3,4,39,1,1.58,1.18,2.76,1.50,2.68,62.4,59.5,43.4,102.8,1.64,1.14,2.78,1.56,2.71
2020-2021,Southampton,29,26.5,47.8,418,"3,420",38.0,67,44,59,8,9,58,3,1.76,1.16,2.92,1.55,2.71,54.2,47.4,36.3,83.7,1.43,0.96,2.38,1.25,2.20
2020-2021,Tottenham,24,26.5,48.3,418,"3,420",38.0,42,24,32,10,10,77,1,1.11,0.63,1.74,0.84,1.47,49.5,41.9,33.0,75.0,1.30,0.87,2.17,1.10,1.97
2020-2021,West Brom,30,26.6,62.4,418,"3,420",38.0,73,52,66,7,11,50,1,1.92,1.37,3.29,1.74,3.11,67.7,59.4,44.1,103.5,1.78,1.16,2.94,1.56,2.72
2020-2021,West Ham,24,26.6,57.1,418,"3,420",38.0,43,34,40,3,5,52,1,1.13,0.89,2.03,1.05,1.95,48.3,44.5,35.3,79.8,1.27,0.93,2.20,1.17,2.10
2020-2021,Wolves,27,26.6,50.7,418,"3,420",38.0,49,34,42,7,8,62,6,1.29,0.89,2.18,1.11,2.00,45.8,39.8,30.2,69.9,1.21,0.79,2.00,1.05,1.84
2021-2022,Arsenal,27,26.9,46.8,418,"3,420",38.0,47,33,42,5,6,69,3,1.24,0.87,2.11,1.11,1.97,47.1,42.6,32.9,75.5,1.24,0.87,2.11,1.12,1.99
2021-2022,Aston Villa,31,26.7,53.5,418,"3,420",38.0,52,35,48,4,6,83,1,1.37,0.92,2.29,1.26,2.18,49.1,44.5,32.4,76.9,1.29,0.85,2.14,1.17,2.02
2021-2022,Brentford,29,26.8,55.5,418,"3,420",38.0,54,41,49,5,5,50,3,1.42,1.08,2.50,1.29,2.37,49.1,45.3,32.3,77.6,1.29,0.85,2.14,1.19,2.04
2021-2022,Brighton,26,26.9,45.3,418,"3,420",38.0,44,34,41,3,4,80,0,1.16,0.89,2.05,1.08,1.97,45.6,42.6,30.5,73.1,1.20,0.80,2.00,1.12,1.92
2021-2022,Burnley,23,26.7,60.2,418,"3,420",38.0,51,36,46,5,5,44,0,1.34,0.95,2.29,1.21,2.16,56.7,52.9,39.4,92.3,1.49,1.04,2.53,1.39,2.43
2021-2022,Chelsea,26,26.7,37.7,418,"3,420",38.0,32,20,26,6,6,69,4,0.84,0.53,1.37,0.68,1.21,36.0,31.9,22.4,54.3,0.95,0.59,1.54,0.84,1.43
2021-2022,Crystal Palace,24,26.8,49.1,418,"3,420",38.0,44,30,41,3,4,74,3,1.16,0.79,1.95,1.08,1.87,41.0,38.0,26.8,64.8,1.08,0.71,1.78,1.00,1.70
2021-2022,Everton,33,26.8,60.3,418,"3,420",38.0,61,46,59,2,2,72,0,1.61,1.21,2.82,1.55,2.76,54.5,53.0,37.9,91.0,1.43,1.00,2.43,1.40,2.39
2021-2022,Leeds United,29,26.9,47.5,418,"3,420",38.0,78,59,73,5,5,74,3,2.05,1.55,3.61,1.92,3.47,70.1,66.4,48.1,114.5,1.85,1.27,3.11,1.75,3.01
2021-2022,Leicester City,28,26.8,47.9,418,"3,420",38.0,58,36,51,7,9,60,0,1.53,0.95,2.47,1.34,2.29,61.0,54.2,38.7,92.9,1.60,1.02,2.62,1.43,2.44
2021-2022,Liverpool,27,26.7,36.7,418,"3,420",38.0,25,18,25,0,0,63,3,0.66,0.47,1.13,0.66,1.13,34.3,34.3,27.3,61.5,0.90,0.72,1.62,0.90,1.62
2021-2022,Manchester City,26,26.9,31.5,418,"3,420",38.0,26,23,25,1,1,68,3,0.68,0.61,1.29,0.66,1.26,27.2,26.4,21.2,47.6,0.71,0.56,1.27,0.69,1.25
2021-2022,Manchester Utd,29,27.0,47.1,418,"3,420",38.0,54,41,51,3,5,48,1,1.42,1.08,2.50,1.34,2.42,54.5,50.8,37.8,88.5,1.44,0.99,2.43,1.34,2.33
2021-2022,Newcastle Utd,29,26.8,60.1,418,"3,420",38.0,60,43,55,5,6,75,3,1.58,1.13,2.71,1.45,2.58,55.4,51.5,39.2,90.7,1.46,1.03,2.49,1.35,2.39
2021-2022,Norwich City,28,26.8,57.5,418,"3,420",38.0,82,57,73,9,12,62,2,2.16,1.50,3.66,1.92,3.42,77.0,68.1,50.1,118.2,2.03,1.32,3.34,1.79,3.11
2021-2022,Southampton,25,26.8,52.1,418,"3,420",38.0,65,47,63,2,2,64,1,1.71,1.24,2.95,1.66,2.89,58.6,57.3,43.0,100.3,1.54,1.13,2.67,1.51,2.64
2021-2022,Tottenham,25,26.8,48.0,418,"3,420",38.0,39,29,37,2,2,83,6,1.03,0.76,1.79,0.97,1.74,39.4,37.9,28.2,66.1,1.04,0.74,1.78,1.00,1.74
2021-2022,Watford,30,26.8,59.7,418,"3,420",38.0,74,56,68,6,7,64,1,1.95,1.47,3.42,1.79,3.26,66.6,61.3,48.0,109.3,1.75,1.26,3.02,1.61,2.88
2021-2022,West Ham,25,26.8,52.2,418,"3,420",38.0,49,38,47,2,6,49,3,1.29,1.00,2.29,1.24,2.24,51.0,46.4,34.0,80.5,1.34,0.89,2.24,1.22,2.12
2021-2022,Wolves,26,26.7,50.4,418,"3,420",38.0,42,23,33,9,10,90,3,1.11,0.61,1.71,0.87,1.47,60.3,52.7,38.4,91.1,1.59,1.01,2.60,1.39,2.40
